1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
44, mes:phantom_citadel, HEADING, header:ignore, 0, 0, 0
45, mns:very_small_nether_brick_2, HEADING, header:ignore, 0, 0, 0
46, mns:medium_crimson_fungus_2, HEADING, header:ignore, 0, 0, 0
47, philipsruins:start_nether_ruin, HEADING, header:ignore, 0, 0, 0
48, philipsruins:ancient_dungeon, HEADING, header:ignore, 0, 0, 0
49, philipsruins:ancient_dungeon, MONSTER, minecraft:zombie, 10, 4, 12
50, philipsruins:rare_ruin, HEADING, header:ignore, 0, 0, 0
51, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
52, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
53, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
54, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
55, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
56, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
57, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
58, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
59, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
60, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
61, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
62, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
63, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
64, mes:ruined_pillar, HEADING, header:ignore, 0, 0, 0
65, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
66, structory:graveyard, HEADING, header:ignore, 0, 0, 0
67, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
68, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
69, structory:ruin_grassy, HEADING, header:ignore, 0, 0, 0
70, structory:firetower, HEADING, header:ignore, 0, 0, 0
71, structory:outcast_villager_desert, HEADING, header:ignore, 0, 0, 0
72, structory:boat, HEADING, header:ignore, 0, 0, 0
73, towns_and_towers:village_badlands, HEADING, header:ignore, 0, 0, 0
74, towns_and_towers:village_beach, HEADING, header:ignore, 0, 0, 0
75, towns_and_towers:village_birch_forest, HEADING, header:ignore, 0, 0, 0
76, towns_and_towers:village_flower_forest, HEADING, header:ignore, 0, 0, 0
77, towns_and_towers:village_forest, HEADING, header:ignore, 0, 0, 0
78, towns_and_towers:village_snowy_slopes, HEADING, header:ignore, 0, 0, 0
79, towns_and_towers:village_jungle, HEADING, header:ignore, 0, 0, 0
80, towns_and_towers:village_meadow, HEADING, header:ignore, 0, 0, 0
81, towns_and_towers:village_mushroom_fields, HEADING, header:ignore, 0, 0, 0
82, towns_and_towers:village_ocean, HEADING, header:ignore, 0, 0, 0
83, towns_and_towers:village_old_growth_taiga, HEADING, header:ignore, 0, 0, 0
84, towns_and_towers:village_grove, HEADING, header:ignore, 0, 0, 0
85, towns_and_towers:village_sunflower_plains, HEADING, header:ignore, 0, 0, 0
86, towns_and_towers:village_snowy_taiga, HEADING, header:ignore, 0, 0, 0
87, towns_and_towers:village_sparse_jungle, HEADING, header:ignore, 0, 0, 0
88, towns_and_towers:village_swamp, HEADING, header:ignore, 0, 0, 0
89, towns_and_towers:village_wooded_badlands, HEADING, header:ignore, 0, 0, 0
90, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
91, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
92, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
93, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
94, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
95, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
96, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
97, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
98, mes:astral_meteorite, HEADING, header:ignore, 0, 0, 0
99, mes:enderbloom_grove, HEADING, header:ignore, 0, 0, 0
100, mns:medium_warped_fungus, HEADING, header:ignore, 0, 0, 0
101, philipsruins:level_two_ruins, HEADING, header:ignore, 0, 0, 0
102, philipsruins:level_two_ruins_pool, HEADING, header:ignore, 0, 0, 0
103, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
104, philipsruins:start_nether_dungeon, HEADING, header:ignore, 0, 0, 0
105, philipsruins:sealedruinedghaststatue1, HEADING, header:ignore, 0, 0, 0
106, philipsruins:nether_lava_ruins, HEADING, header:ignore, 0, 0, 0
107, philipsruins:field_stone_ruins_rocks, HEADING, header:ignore, 0, 0, 0
108, mns:medium_blackstone, HEADING, header:ignore, 0, 0, 0
109, mns:very_small_nether_brick, HEADING, header:ignore, 0, 0, 0
110, philipsruins:antiquus_crypta, HEADING, header:ignore, 0, 0, 0
111, philipsruins:antiquus_crypta, MONSTER, minecraft:skeleton, 15, 5, 15
112, philipsruins:antiquus_crypta, MONSTER, minecraft:zombie, 15, 7, 15
113, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
114, mns:medium_house_2, HEADING, header:ignore, 0, 0, 0
115, towns_and_towers:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
116, towns_and_towers:pillager_outpost_badlands, MONSTER, minecraft:pillager, 10, 1, 2
117, towns_and_towers:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
118, towns_and_towers:pillager_outpost_beach, MONSTER, minecraft:pillager, 10, 1, 2
119, towns_and_towers:pillager_outpost_birch_forest, HEADING, header:ignore, 0, 0, 0
120, towns_and_towers:pillager_outpost_birch_forest, MONSTER, minecraft:pillager, 10, 1, 2
121, towns_and_towers:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
122, towns_and_towers:pillager_outpost_desert, MONSTER, minecraft:pillager, 10, 1, 2
123, towns_and_towers:pillager_outpost_flower_forest, HEADING, header:ignore, 0, 0, 0
124, towns_and_towers:pillager_outpost_flower_forest, MONSTER, minecraft:pillager, 10, 1, 2
125, towns_and_towers:pillager_outpost_forest, HEADING, header:ignore, 0, 0, 0
126, towns_and_towers:pillager_outpost_forest, MONSTER, minecraft:pillager, 10, 1, 2
127, towns_and_towers:pillager_outpost_grove, HEADING, header:ignore, 0, 0, 0
128, towns_and_towers:pillager_outpost_grove, MONSTER, minecraft:pillager, 10, 1, 2
129, towns_and_towers:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
130, towns_and_towers:pillager_outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 2
131, towns_and_towers:pillager_outpost_meadow, HEADING, header:ignore, 0, 0, 0
132, towns_and_towers:pillager_outpost_meadow, MONSTER, minecraft:pillager, 10, 1, 2
133, towns_and_towers:pillager_outpost_mushroom_fields, HEADING, header:ignore, 0, 0, 0
134, towns_and_towers:pillager_outpost_ocean, HEADING, header:ignore, 0, 0, 0
135, towns_and_towers:pillager_outpost_ocean, MONSTER, minecraft:pillager, 10, 1, 2
136, towns_and_towers:pillager_outpost_old_growth_taiga, HEADING, header:ignore, 0, 0, 0
137, towns_and_towers:pillager_outpost_old_growth_taiga, MONSTER, minecraft:pillager, 10, 1, 2
138, towns_and_towers:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
139, towns_and_towers:pillager_outpost_savanna, MONSTER, minecraft:pillager, 10, 1, 2
140, towns_and_towers:pillager_outpost_snowy_beach, HEADING, header:ignore, 0, 0, 0
141, towns_and_towers:pillager_outpost_snowy_beach, MONSTER, minecraft:pillager, 10, 1, 2
142, towns_and_towers:pillager_outpost_snowy_plains, HEADING, header:ignore, 0, 0, 0
143, towns_and_towers:pillager_outpost_snowy_plains, MONSTER, minecraft:pillager, 10, 1, 2
144, towns_and_towers:pillager_outpost_snowy_slopes, HEADING, header:ignore, 0, 0, 0
145, towns_and_towers:pillager_outpost_snowy_slopes, MONSTER, minecraft:pillager, 10, 1, 2
146, towns_and_towers:pillager_outpost_sparse_jungle, HEADING, header:ignore, 0, 0, 0
147, towns_and_towers:pillager_outpost_sparse_jungle, MONSTER, minecraft:pillager, 10, 1, 2
148, towns_and_towers:pillager_outpost_sunflower_plains, HEADING, header:ignore, 0, 0, 0
149, towns_and_towers:pillager_outpost_sunflower_plains, MONSTER, minecraft:pillager, 10, 1, 2
150, towns_and_towers:pillager_outpost_swamp, HEADING, header:ignore, 0, 0, 0
151, towns_and_towers:pillager_outpost_swamp, MONSTER, minecraft:pillager, 10, 1, 2
152, towns_and_towers:pillager_outpost_taiga, HEADING, header:ignore, 0, 0, 0
153, towns_and_towers:pillager_outpost_taiga, MONSTER, minecraft:pillager, 10, 1, 2
154, towns_and_towers:pillager_outpost_snowy_taiga, HEADING, header:ignore, 0, 0, 0
155, towns_and_towers:pillager_outpost_snowy_taiga, MONSTER, minecraft:pillager, 10, 1, 2
156, towns_and_towers:pillager_outpost_wooded_badlands, HEADING, header:ignore, 0, 0, 0
157, towns_and_towers:pillager_outpost_wooded_badlands, MONSTER, minecraft:pillager, 10, 1, 2
158, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
159, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
160, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
161, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
162, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
163, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
164, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
165, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
166, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
167, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
168, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
169, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
170, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
171, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
172, mns:very_small_blackstone_2, HEADING, header:ignore, 0, 0, 0
173, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
174, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
175, philipsruins:end_ruins, HEADING, header:ignore, 0, 0, 0
176, philipsruins:end_gate_fortress, HEADING, header:ignore, 0, 0, 0
177, philipsruins:end_gate_fortress, MONSTER, minecraft:enderman, 15, 5, 15
178, mns:very_small_blackstone_4, HEADING, header:ignore, 0, 0, 0
179, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
180, sculkhorde:sculk_tomb_main, HEADING, header:ignore, 0, 0, 0
181, mes:ender_spire, HEADING, header:ignore, 0, 0, 0
182, towns_and_towers:mimic_desert, HEADING, header:ignore, 0, 0, 0
183, towns_and_towers:wreckage_ocean, HEADING, header:ignore, 0, 0, 0
184, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
185, philipsruins:ancient_crypt, HEADING, header:ignore, 0, 0, 0
186, philipsruins:ocean_ruins, HEADING, header:ignore, 0, 0, 0
187, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
188, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
189, mes:astral_hideaway, HEADING, header:ignore, 0, 0, 0
190, mns:medium_crimson_fungus, HEADING, header:ignore, 0, 0, 0
191, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
192, mns:very_small_blackstone_3, HEADING, header:ignore, 0, 0, 0
193, mns:circle_blackstone, HEADING, header:ignore, 0, 0, 0
194, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
195, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
196, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
197, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
198, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
199, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
200, mns:large_blackstone_walls, HEADING, header:ignore, 0, 0, 0
201, mes:enderpin_spikes, HEADING, header:ignore, 0, 0, 0
202, mns:very_small_blackstone, HEADING, header:ignore, 0, 0, 0
203, mes:endscraps, HEADING, header:ignore, 0, 0, 0
204, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
205, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
206, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
207, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
208, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 0, 0
209, philipsruins:ancient_ruins, HEADING, header:ignore, 0, 0, 0
210, philipsruins:ancient_ruins, MONSTER, minecraft:zombie, 12, 5, 12
211, structory:old_manor, HEADING, header:ignore, 0, 0, 0
212, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
213, philipsruins:badlands_start_dungeon, HEADING, header:ignore, 0, 0, 0
214, philipsruins:badlands_structures, HEADING, header:ignore, 0, 0, 0
215, philipsruins:desert_structures, HEADING, header:ignore, 0, 0, 0
216, philipsruins:desert_structures, MONSTER, minecraft:husk, 15, 5, 15
217, mns:large_nether_brick, HEADING, header:ignore, 0, 0, 0
218, philipsruins:ancient_towers, HEADING, header:ignore, 0, 0, 0
219, philipsruins:ancient_towers, MONSTER, minecraft:zombie, 12, 5, 20
220, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
221, mns:medium_house, HEADING, header:ignore, 0, 0, 0
222, philipsruins:ocean_fortress, HEADING, header:ignore, 0, 0, 0
223, philipsruins:ocean_fortress, MONSTER, minecraft:guardian, 10, 2, 3
224, philipsruins:ocean_fortress, MONSTER, minecraft:drowned, 10, 5, 9
225, philipsruins:field_stone_ruins, HEADING, header:ignore, 0, 0, 0
226, philipsruins:field_stone_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
227, philipsruins:field_stone_ruins, MONSTER, minecraft:zombie, 12, 5, 12
228, mes:enderskog, HEADING, header:ignore, 0, 0, 0
229, mes:manuscript_shrine, HEADING, header:ignore, 0, 0, 0
230, structory:taiga_ruin_surface, HEADING, header:ignore, 0, 0, 0
231, structory:taiga_ruin_underground, HEADING, header:ignore, 0, 0, 0
232, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
233, philipsruins:level_one_ruins, HEADING, header:ignore, 0, 0, 0
234, philipsruins:level_one_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
235, philipsruins:level_one_ruins, MONSTER, minecraft:zombie, 12, 5, 12
236, philipsruins:level_three_ruins, HEADING, header:ignore, 0, 0, 0
237, philipsruins:pumpkin_ruins, HEADING, header:ignore, 0, 0, 0
238, philipsruins:pumpkin_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
239, philipsruins:pumpkin_ruins, MONSTER, minecraft:zombie, 12, 5, 12
240, mns:small_nether_brick, HEADING, header:ignore, 0, 0, 0
241, mes:starlight_voyager, HEADING, header:ignore, 0, 0, 0
242, mns:very_small_nether_brick_3, HEADING, header:ignore, 0, 0, 0
243, mns:grave_yard, HEADING, header:ignore, 0, 0, 0
244, mns:medium_warped_fungus_2, HEADING, header:ignore, 0, 0, 0
245, philipsruins:lost_soul_dungeon, HEADING, header:ignore, 0, 0, 0
246, philipsruins:lost_soul_dungeon, MONSTER, minecraft:wither_skeleton, 10, 1, 5
247, philipsruins:bone_dungeon, HEADING, header:ignore, 0, 0, 0
248, philipsruins:bone_dungeon, MONSTER, minecraft:skeleton, 10, 2, 8
249, philipsruins:bone_dungeon, MONSTER, minecraft:husk, 10, 5, 10
250, philipsruins:underground_structures, HEADING, header:ignore, 0, 0, 0
251, philipsruins:underground_structures, MONSTER, minecraft:wither_skeleton, 10, 1, 5
252, philipsruins:sculk_dungeon, HEADING, header:ignore, 0, 0, 0
253, mes:enderwatch_tower, HEADING, header:ignore, 0, 0, 0
254, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
255, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
256, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
257, mes:enderkeep_courtyard, HEADING, header:ignore, 0, 0, 0
258, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
259, mns:lava_pool, HEADING, header:ignore, 0, 0, 0
260, mns:large_blackstone_pillars, HEADING, header:ignore, 0, 0, 0
261, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
262, mns:warped_pool, HEADING, header:ignore, 0, 0, 0
263, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
264, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
265, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
266, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
267, mns:medium_crimson_well, HEADING, header:ignore, 0, 0, 0
268, mns:medium_warped_well, HEADING, header:ignore, 0, 0, 0
269, mes:monolith, HEADING, header:ignore, 0, 0, 0
270, mes:mythic_garden, HEADING, header:ignore, 0, 0, 0
271, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
272, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
273, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
274, mes:placid_prairie, HEADING, header:ignore, 0, 0, 0
275, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
276, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
277, mns:smoking_shrine, HEADING, header:ignore, 0, 0, 0
278, philipsruins:lost_soul_city, HEADING, header:ignore, 0, 0, 0
279, philipsruins:lost_soul_city, MONSTER, minecraft:wither_skeleton, 10, 1, 2
