1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
53, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
54, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
55, plains, minecraft:plains, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
56, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
57, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
58, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
59, plains, minecraft:plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
60, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
61, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
62, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
63, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
64, plains, minecraft:plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
65, plains, minecraft:plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
66, plains, minecraft:plains, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
67, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
68, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
69, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
70, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
71, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
72, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
73, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
74, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
75, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
76, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
77, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
78, plains, minecraft:plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
79, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
80, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
81, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
82, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
83, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
84, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
85, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
86, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
87, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
88, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
89, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
90, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
91, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
92, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
93, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
94, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
95, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
96, none, minecraft:sunflower_plains, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
97, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
98, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
99, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
100, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
101, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
102, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
103, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
104, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
105, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
106, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
107, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
108, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
109, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
110, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
111, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
112, none, minecraft:sunflower_plains, MONSTER, endermanoverhaul:flower_fields_enderman, 10, 1, 4
113, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
114, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
115, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
116, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
117, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
118, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
119, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
120, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
121, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
122, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
123, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
124, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
125, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
126, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
127, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
128, none, minecraft:sunflower_plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
129, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
130, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
131, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
132, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
133, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
134, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
135, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
136, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
137, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
138, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
139, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
140, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
141, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
142, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
143, icy, minecraft:snowy_plains, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
144, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
145, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
146, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
147, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
148, icy, minecraft:snowy_plains, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
149, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
150, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
151, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
152, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
153, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
154, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
155, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
156, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
157, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
158, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
159, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
160, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
161, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
162, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
163, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
164, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
165, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
166, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
167, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
168, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
169, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
170, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
171, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
172, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
173, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
174, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
175, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
176, icy, minecraft:snowy_plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
177, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
178, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
179, icy, minecraft:snowy_plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
180, icy, minecraft:snowy_plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
181, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
182, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
183, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
184, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
185, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
186, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
187, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
188, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
189, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
190, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
191, none, minecraft:ice_spikes, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
192, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
193, none, minecraft:ice_spikes, MONSTER, endermanoverhaul:ice_spikes_enderman, 10, 1, 4
194, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
195, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
196, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
197, none, minecraft:ice_spikes, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
198, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
199, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
200, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
201, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
202, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
203, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
204, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
205, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
206, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
207, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
208, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
209, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
210, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
211, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
212, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
213, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
214, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
215, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
216, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
217, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
218, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
219, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
220, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
221, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
222, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
223, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
224, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
225, none, minecraft:ice_spikes, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
226, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
227, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
228, none, minecraft:ice_spikes, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
229, none, minecraft:ice_spikes, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
230, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
231, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
232, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
233, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
234, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
235, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
236, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
237, desert, minecraft:desert, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
238, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
239, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
240, desert, minecraft:desert, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
241, desert, minecraft:desert, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
242, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
243, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
244, desert, minecraft:desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
245, desert, minecraft:desert, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
246, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
247, desert, minecraft:desert, MONSTER, endermanoverhaul:desert_enderman, 10, 1, 4
248, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
249, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
250, desert, minecraft:desert, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
251, desert, minecraft:desert, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
252, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
253, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
254, desert, minecraft:desert, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
255, desert, minecraft:desert, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
256, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
257, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
258, desert, minecraft:desert, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
259, desert, minecraft:desert, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
260, desert, minecraft:desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
261, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
262, desert, minecraft:desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
263, desert, minecraft:desert, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
264, desert, minecraft:desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
265, desert, minecraft:desert, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
266, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
267, desert, minecraft:desert, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
268, desert, minecraft:desert, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
269, desert, minecraft:desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
270, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
271, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
272, desert, minecraft:desert, CREATURE, cold_sweat:chameleon, 10, 1, 1
273, desert, minecraft:desert, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
274, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
275, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
276, desert, minecraft:desert, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
277, desert, minecraft:desert, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
278, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
279, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
280, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
281, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
282, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
283, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
284, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
285, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
286, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
287, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
288, swamp, minecraft:swamp, MONSTER, endermanoverhaul:swamp_enderman, 10, 1, 4
289, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
290, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
291, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
292, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
293, swamp, minecraft:swamp, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
294, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
295, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
296, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
297, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
